ProductType;RuleName;ESAProductType
S3_SR_2_SSM_AX;S3_AX;SR_2_SSM_AX
S3_SR_2_PGI_AX;S3_AX;SR_2_PGI_AX
S3_SR_2_SICNAX;S3_AX;SR_2_SICNAX
S3_SR_2_SICSAX;S3_AX;SR_2_SICSAX
S3_SR_2_SIFNAX;S3_AX;SR_2_SIFNAX
S3_SR_2_SIFSAX;S3_AX;SR_2_SIFSAX
S3_SR_2_SST_AX;S3_AX;SR_2_SST_AX
S3_SR_2_SURFAX;S3_AX;SR_2_SURFAX
S3_SR_2_WNDLAX;S3_AX;SR_2_WNDLAX
S3_SR_2_WNDSAX;S3_AX;SR_2_WNDSAX
S3_SR___LSM_AX;S3_AX;SR___LSM_AX
S3_SY_1_CDIBAX;S3_AX;SY_1_CDIBAX
S5P_TROPOMI_L2_AER_AI;S5P_L2;S5P_L2__AER_AI
S5P_TROPOMI_L2_AER_LH;S5P_L2;S5P_L2__AER_LH
S5P_TROPOMI_L2_CH4;S5P_L2;S5P_L2__CH4___
S5P_TROPOMI_L2_CLOUD;S5P_L2;S5P_L2__CLOUD_
S5P_TROPOMI_L2_CO;S5P_L2;S5P_L2__CO____
S5P_TROPOMI_L2_HCHO;S5P_L2;S5P_L2__HCHO__
S5P_TROPOMI_L2_NO2;S5P_L2;S5P_L2__NO2___
S5P_TROPOMI_L2_NP_BD3;S5P_L2;S5P_L2__NP_BD3
S5P_TROPOMI_L2_NP_BD6;S5P_L2;S5P_L2__NP_BD6
S5P_TROPOMI_L2_NP_BD7;S5P_L2;S5P_L2__NP_BD7
S5P_TROPOMI_L2_O3;S5P_L2;S5P_L2__O3____
S5P_TROPOMI_L2_O3_TCL;S5P_L2;S5P_L2__O3_TCL
S5P_TROPOMI_L2_SO2;S5P_L2;S5P_L2__SO2___

